Date,Opp,Dec,DR,H,ER,BB,SO,HR,HBP,FIP,GSc,2B,Outs,points,QS,pitcher,code
2023-08-06,BOS,1,5,7,1,3,6,1,0,4.56,62,2,21,18,1.0,Chris Bassitt,bassich01
2023-08-12,CHC,0,5,4,4,2,6,1,0,4.56,52,1,18,10,0.0,Chris Bassitt,bassich01
2023-08-19,CIN,1,6,3,2,1,6,1,0,4.53,61,1,18,19,1.0,Chris Bassitt,bassich01
2023-08-25,CLE,-1,5,7,4,2,5,2,0,4.63,42,3,17,2,0.0,Chris Bassitt,bassich01
2023-08-30,WSN,1,4,3,0,1,3,0,1,4.56,78,1,24,25,1.0,Chris Bassitt,bassich01
2023-09-05,OAK,1,5,7,1,0,7,0,0,4.42,71,2,24,25,1.0,Chris Bassitt,bassich01
2023-09-11,TEX,-1,5,9,5,3,3,1,0,4.47,30,1,16,-6,0.0,Chris Bassitt,bassich01
2023-09-16,BOS,0,4,4,2,3,5,1,0,4.49,63,1,21,15,1.0,Chris Bassitt,bassich01
2023-04-05,SFG,1,5,1,1,5,8,1,0,2.82,64,0,15,18,0.0,Dylan Cease,ceasedy01
2023-04-10,MIN,1,4,3,1,2,6,0,2,2.95,57,0,15,15,0.0,Dylan Cease,ceasedy01
2023-04-16,BAL,0,5,6,2,5,5,0,0,3.26,48,0,18,8,1.0,Dylan Cease,ceasedy01
2023-04-22,TBR,0,5,6,3,1,5,1,1,3.6,42,0,12,3,0.0,Dylan Cease,ceasedy01
2023-04-27,TBR,-1,4,9,6,2,3,1,0,3.99,19,1,12,-11,0.0,Dylan Cease,ceasedy01
2023-05-03,MIN,0,5,5,4,4,6,1,0,4.25,43,2,15,4,0.0,Dylan Cease,ceasedy01
2023-05-08,KCR,-1,4,9,7,1,6,1,1,4.3,26,2,15,-7,0.0,Dylan Cease,ceasedy01
2023-05-13,HOU,0,4,4,0,2,5,0,0,4.08,67,0,18,17,1.0,Dylan Cease,ceasedy01
2023-05-18,CLE,-1,4,5,3,1,3,1,0,4.17,53,1,19,7,1.0,Dylan Cease,ceasedy01
2023-05-23,CLE,1,4,5,2,2,3,1,0,4.3,55,2,18,13,1.0,Dylan Cease,ceasedy01
2023-05-28,DET,0,4,4,4,4,8,1,0,4.38,42,1,12,4,0.0,Dylan Cease,ceasedy01
2023-06-03,DET,0,5,2,1,3,6,0,0,4.25,63,0,16,15,0.0,Dylan Cease,ceasedy01
2023-06-09,MIA,0,5,4,1,2,7,1,0,4.23,65,1,18,17,1.0,Dylan Cease,ceasedy01
2023-06-15,LAD,0,5,4,2,3,10,0,0,4.03,59,0,16,15,0.0,Dylan Cease,ceasedy01
2023-06-20,TEX,0,4,5,2,2,9,1,0,3.99,61,2,18,16,1.0,Dylan Cease,ceasedy01
2023-06-26,LAA,0,5,5,1,0,10,1,0,3.86,68,0,18,21,1.0,Dylan Cease,ceasedy01
2023-07-01,OAK,0,4,6,3,3,5,0,0,3.82,46,1,16,6,0.0,Dylan Cease,ceasedy01
2023-07-07,STL,0,5,11,5,0,8,1,0,3.76,38,2,18,5,0.0,Dylan Cease,ceasedy01
2023-07-16,ATL,1,8,3,1,3,6,0,1,3.73,60,0,15,15,0.0,Dylan Cease,ceasedy01
2023-07-22,MIN,0,5,3,1,2,9,0,0,3.6,69,2,18,20,1.0,Dylan Cease,ceasedy01
2023-07-27,CLE,-1,4,9,4,2,5,0,0,3.55,38,3,17,0,0.0,Dylan Cease,ceasedy01
2023-08-02,TEX,-1,5,7,7,3,1,1,1,3.74,11,1,5,-22,0.0,Dylan Cease,ceasedy01
2023-08-07,NYY,1,4,1,0,7,6,0,0,3.79,65,0,16,17,0.0,Dylan Cease,ceasedy01
2023-08-13,MIL,-1,5,5,2,2,7,0,0,3.7,64,1,21,14,1.0,Dylan Cease,ceasedy01
2023-08-20,COL,0,6,7,4,2,6,1,1,3.76,36,0,14,2,0.0,Dylan Cease,ceasedy01
2023-08-25,OAK,-1,4,9,8,5,6,0,0,3.77,12,2,13,-14,0.0,Dylan Cease,ceasedy01
2023-08-30,BAL,1,4,6,5,3,7,1,1,3.82,44,2,18,8,0.0,Dylan Cease,ceasedy01
2023-09-05,KCR,0,5,8,4,2,7,3,0,4.0,39,1,16,5,0.0,Dylan Cease,ceasedy01
2023-09-12,KCR,1,6,4,1,1,8,0,0,3.9,63,1,16,20,0.0,Dylan Cease,ceasedy01
2023-09-17,MIN,-1,4,4,3,3,5,1,0,3.94,54,1,18,7,1.0,Dylan Cease,ceasedy01
2023-04-05,PHI,1,5,3,1,3,8,0,0,1.4,68,1,19,22,1.0,Gerrit Cole,colege01
2023-04-11,CLE,1,5,5,2,2,3,0,0,2.07,60,2,21,16,1.0,Gerrit Cole,colege01
2023-04-16,MIN,1,4,2,0,1,10,0,0,1.85,92,0,27,37,1.0,Gerrit Cole,colege01
2023-04-22,TOR,0,5,4,0,2,4,0,1,2.11,63,2,17,14,0.0,Gerrit Cole,colege01
2023-04-27,TEX,1,4,6,2,1,8,0,0,1.98,61,2,20,20,1.0,Gerrit Cole,colege01
2023-05-02,CLE,0,4,5,2,3,8,0,1,2.06,59,1,18,13,1.0,Gerrit Cole,colege01
2023-05-07,TBR,0,4,8,5,2,6,2,0,2.56,33,2,15,1,0.0,Gerrit Cole,colege01
2023-05-12,TBR,0,4,5,2,2,4,2,0,3.05,51,0,15,8,0.0,Gerrit Cole,colege01
2023-05-17,TOR,0,4,7,0,2,6,0,0,2.97,62,1,18,15,1.0,Gerrit Cole,colege01
2023-05-23,BAL,0,5,6,5,3,2,2,0,3.45,34,1,15,-2,0.0,Gerrit Cole,colege01
2023-05-28,SDP,1,4,4,5,3,9,2,0,3.67,48,0,18,13,0.0,Gerrit Cole,colege01
2023-06-03,LAD,1,5,4,1,2,5,0,1,3.62,63,0,18,17,1.0,Gerrit Cole,colege01
2023-06-09,BOS,-1,5,7,2,1,6,1,1,3.68,55,1,18,8,1.0,Gerrit Cole,colege01
2023-06-14,NYM,0,4,4,1,0,8,0,0,3.48,68,2,18,20,1.0,Gerrit Cole,colege01
2023-06-20,SEA,1,5,4,1,1,8,0,1,3.36,73,1,22,25,1.0,Gerrit Cole,colege01
2023-06-25,TEX,0,4,9,3,1,7,1,0,3.38,40,4,14,5,0.0,Gerrit Cole,colege01
2023-07-02,STL,-1,6,6,2,2,5,0,1,3.36,55,1,18,7,1.0,Gerrit Cole,colege01
2023-07-08,CHC,1,5,5,3,1,5,1,0,3.41,60,1,22,18,1.0,Gerrit Cole,colege01
2023-07-16,COL,0,7,2,1,1,11,1,0,3.35,74,0,18,24,1.0,Gerrit Cole,colege01
2023-07-22,KCR,0,5,5,2,1,10,1,0,3.31,64,0,19,19,1.0,Gerrit Cole,colege01
2023-07-28,BAL,0,5,3,0,0,5,0,0,3.24,76,0,21,23,1.0,Gerrit Cole,colege01
2023-08-02,TBR,1,4,4,2,2,8,1,0,3.26,67,0,21,22,1.0,Gerrit Cole,colege01
2023-08-07,CHW,-1,4,5,4,2,3,1,1,3.37,52,0,21,5,0.0,Gerrit Cole,colege01
2023-08-13,MIA,0,5,6,2,2,6,0,0,3.32,56,0,18,12,1.0,Gerrit Cole,colege01
2023-08-19,BOS,-1,5,7,6,1,4,2,0,3.45,27,0,12,-7,0.0,Gerrit Cole,colege01
2023-08-25,TBR,1,5,3,1,0,11,1,0,3.39,78,0,23,32,1.0,Gerrit Cole,colege01
2023-08-30,DET,1,4,4,2,2,7,2,0,3.49,61,0,18,18,1.0,Gerrit Cole,colege01
2023-09-05,DET,1,5,8,1,0,7,0,0,3.4,59,0,18,18,1.0,Gerrit Cole,colege01
2023-09-10,MIL,0,4,3,0,0,9,0,0,3.3,80,1,21,27,1.0,Gerrit Cole,colege01
2023-09-15,PIT,0,4,6,2,3,4,0,0,3.31,48,0,15,6,0.0,Gerrit Cole,colege01
2023-04-04,SDP,0,4,7,4,1,3,2,0,4.95,42,2,18,5,0.0,Zac Gallen,galleza01
2023-04-10,MIL,1,5,3,0,1,11,0,0,3.2,81,0,21,31,1.0,Zac Gallen,galleza01
2023-04-16,MIA,1,5,2,0,0,7,0,1,2.77,77,1,20,27,1.0,Zac Gallen,galleza01
2023-04-21,SDP,1,4,2,0,0,11,0,0,2.17,84,1,21,33,1.0,Zac Gallen,galleza01
2023-04-26,KCR,1,4,4,0,0,12,0,0,1.72,77,0,19,30,1.0,Zac Gallen,galleza01
2023-05-02,TEX,0,5,7,3,0,6,0,0,1.62,47,2,15,8,0.0,Zac Gallen,galleza01
2023-05-08,MIA,1,5,5,1,1,7,0,0,1.63,69,2,21,23,1.0,Zac Gallen,galleza01
2023-05-13,SFG,1,4,5,2,2,6,0,0,1.74,65,1,23,21,1.0,Zac Gallen,galleza01
2023-05-19,PIT,-1,5,8,5,4,2,0,0,1.96,17,4,11,-12,0.0,Zac Gallen,galleza01
2023-05-24,PHI,0,4,5,2,2,3,0,0,2.08,52,0,17,9,0.0,Zac Gallen,galleza01
2023-05-30,COL,1,5,5,0,2,7,0,0,2.06,67,3,18,21,1.0,Zac Gallen,galleza01
2023-06-04,ATL,0,4,9,2,1,6,1,0,2.2,49,1,18,10,1.0,Zac Gallen,galleza01
2023-06-11,DET,0,6,10,5,2,5,1,0,2.38,32,3,17,0,0.0,Zac Gallen,galleza01
2023-06-16,CLE,1,4,6,1,0,7,1,0,2.44,68,0,21,23,1.0,Zac Gallen,galleza01
2023-06-21,MIL,1,4,3,1,1,4,1,0,2.58,70,1,21,22,1.0,Zac Gallen,galleza01
2023-06-27,TBR,1,5,5,4,2,4,1,0,2.72,48,2,18,10,0.0,Zac Gallen,galleza01
2023-07-02,LAA,-1,4,5,4,1,12,2,0,2.8,62,0,21,16,0.0,Zac Gallen,galleza01
2023-07-07,PIT,1,4,4,1,0,5,0,0,2.74,70,1,21,23,1.0,Zac Gallen,galleza01
2023-07-15,TOR,-1,7,6,3,3,5,1,0,2.86,45,1,15,2,0.0,Zac Gallen,galleza01
2023-07-20,ATL,0,4,5,3,0,5,2,0,3.01,60,1,21,15,1.0,Zac Gallen,galleza01
2023-07-26,STL,-1,5,7,5,2,8,2,0,3.14,45,1,19,5,0.0,Zac Gallen,galleza01
2023-08-01,SFG,0,5,7,3,1,6,1,1,3.19,51,1,18,9,1.0,Zac Gallen,galleza01
2023-08-06,MIN,0,4,4,2,2,8,0,1,3.15,67,1,21,18,1.0,Zac Gallen,galleza01
2023-08-12,SDP,1,5,4,0,1,8,0,0,3.07,71,2,18,24,1.0,Zac Gallen,galleza01
2023-08-17,SDP,1,4,3,1,1,3,0,0,3.06,65,2,19,19,1.0,Zac Gallen,galleza01
2023-08-22,TEX,1,4,7,1,1,11,1,0,3.03,64,1,18,22,1.0,Zac Gallen,galleza01
2023-08-28,LAD,-1,5,9,6,3,3,4,0,3.35,26,0,16,-8,0.0,Zac Gallen,galleza01
2023-09-03,BAL,-1,5,8,5,1,4,0,0,3.32,35,1,16,-2,0.0,Zac Gallen,galleza01
2023-09-08,CHC,1,4,3,0,1,9,0,1,3.25,89,0,27,34,1.0,Zac Gallen,galleza01
2023-09-13,NYM,-1,4,8,6,2,4,1,1,3.33,27,3,15,-7,0.0,Zac Gallen,galleza01
2023-04-05,CHW,-1,5,9,4,0,4,0,0,3.26,37,2,15,-1,0.0,Logan Webb,webblo01
2023-04-10,LAD,-1,4,5,1,1,6,2,0,4.26,57,0,18,13,1.0,Logan Webb,webblo01
2023-04-17,MIA,-1,6,8,4,0,6,1,1,4.15,48,1,20,6,0.0,Logan Webb,webblo01
2023-04-22,NYM,1,4,5,2,1,8,1,0,3.94,66,1,21,22,1.0,Logan Webb,webblo01
2023-04-27,STL,-1,4,7,2,1,7,1,0,3.88,58,0,20,12,1.0,Logan Webb,webblo01
2023-05-03,HOU,1,5,5,2,2,5,1,0,3.97,64,0,23,20,1.0,Logan Webb,webblo01
2023-05-09,WSN,1,5,9,1,1,7,0,0,3.66,61,1,21,19,1.0,Logan Webb,webblo01
2023-05-14,ARI,0,4,3,1,3,3,0,1,3.72,67,1,21,15,1.0,Logan Webb,webblo01
2023-05-20,MIA,0,5,4,0,2,7,0,0,3.55,69,0,18,19,1.0,Logan Webb,webblo01
2023-05-27,MIL,1,6,4,1,1,11,0,0,3.26,75,0,21,28,1.0,Logan Webb,webblo01
2023-06-02,BAL,-1,5,4,3,1,6,1,0,3.31,62,1,21,13,1.0,Logan Webb,webblo01
2023-06-07,COL,0,4,8,4,2,3,1,0,3.46,37,2,16,1,0.0,Logan Webb,webblo01
2023-06-12,STL,1,4,7,3,0,6,2,0,3.6,57,0,21,17,1.0,Logan Webb,webblo01
2023-06-18,LAD,1,5,8,2,2,5,0,1,3.57,56,1,21,14,1.0,Logan Webb,webblo01
2023-06-23,ARI,1,4,5,3,2,5,1,0,3.63,56,1,21,16,1.0,Logan Webb,webblo01
2023-06-28,TOR,-1,4,8,5,0,5,0,0,3.52,36,4,15,-1,0.0,Logan Webb,webblo01
2023-07-03,SEA,0,4,7,2,2,11,0,0,3.37,61,1,20,18,1.0,Logan Webb,webblo01
2023-07-09,COL,1,5,7,0,0,10,0,0,3.2,83,2,27,33,1.0,Logan Webb,webblo01
2023-07-17,CIN,0,7,4,2,0,7,2,0,3.3,68,1,21,20,1.0,Logan Webb,webblo01
2023-07-22,WSN,-1,4,5,6,1,2,1,0,3.39,21,0,4,-15,0.0,Logan Webb,webblo01
2023-07-28,BOS,-1,5,6,3,0,4,1,0,3.42,58,2,22,11,1.0,Logan Webb,webblo01
2023-08-02,ARI,1,4,4,2,1,5,0,0,3.36,65,1,21,20,1.0,Logan Webb,webblo01
2023-08-07,LAA,0,4,7,1,0,6,0,0,3.28,55,2,17,14,0.0,Logan Webb,webblo01
2023-08-13,TEX,0,5,6,1,1,6,0,1,3.24,73,1,26,22,1.0,Logan Webb,webblo01
2023-08-19,ATL,0,5,9,4,0,5,1,0,3.26,43,2,18,6,0.0,Logan Webb,webblo01
2023-08-25,ATL,-1,5,6,5,1,1,1,0,3.34,36,1,16,-3,0.0,Logan Webb,webblo01
2023-08-30,CIN,-1,4,7,2,0,6,0,0,3.27,56,1,18,10,1.0,Logan Webb,webblo01
2023-09-04,CHC,-1,4,5,3,1,4,1,0,3.31,55,2,20,9,1.0,Logan Webb,webblo01
2023-09-09,COL,1,4,3,0,1,4,0,0,3.29,69,0,18,21,1.0,Logan Webb,webblo01
2023-09-15,COL,0,5,4,1,0,6,0,0,3.23,76,1,24,24,1.0,Logan Webb,webblo01
2023-04-04,MIN,1,4,3,0,1,5,0,0,3.33,85,0,27,31,1.0,Sandy Alcantara,alcansa01
2023-04-10,PHI,-1,5,10,9,1,4,1,0,3.74,9,2,12,-16,0.0,Sandy Alcantara,alcansa01
2023-04-16,ARI,-1,5,6,3,0,9,1,0,3.42,53,2,18,12,1.0,Sandy Alcantara,alcansa01
2023-04-26,ATL,0,9,4,2,3,6,1,0,3.72,56,1,17,12,0.0,Sandy Alcantara,alcansa01
2023-05-02,ATL,-1,5,6,3,3,5,1,2,4.17,45,1,15,0,0.0,Sandy Alcantara,alcansa01
2023-05-07,CHC,0,4,9,2,0,9,0,0,3.58,66,1,25,21,1.0,Sandy Alcantara,alcansa01
2023-05-13,CIN,-1,5,7,6,2,9,1,1,3.61,48,2,23,7,0.0,Sandy Alcantara,alcansa01
2023-05-19,SFG,-1,5,5,4,3,5,0,0,3.56,45,1,17,3,0.0,Sandy Alcantara,alcansa01
2023-05-24,COL,1,4,4,2,3,3,1,0,3.78,56,1,18,13,1.0,Sandy Alcantara,alcansa01
2023-05-30,SDP,0,5,5,4,5,3,0,0,3.87,45,1,19,4,0.0,Sandy Alcantara,alcansa01
2023-06-04,OAK,0,4,6,5,0,7,0,0,3.63,52,1,21,12,0.0,Sandy Alcantara,alcansa01
2023-06-10,CHW,0,5,3,1,2,4,1,1,3.76,69,1,21,17,1.0,Sandy Alcantara,alcansa01
2023-06-16,WSN,0,5,10,5,0,1,1,0,3.86,29,4,16,-3,0.0,Sandy Alcantara,alcansa01
2023-06-21,TOR,-1,4,10,5,2,6,0,0,3.75,41,2,21,2,0.0,Sandy Alcantara,alcansa01
2023-06-27,BOS,1,5,6,1,2,5,0,0,3.68,64,2,21,19,1.0,Sandy Alcantara,alcansa01
2023-07-02,ATL,-1,4,5,4,2,6,2,0,3.85,45,0,15,3,0.0,Sandy Alcantara,alcansa01
2023-07-07,PHI,0,4,8,1,0,5,1,0,3.84,59,1,20,15,1.0,Sandy Alcantara,alcansa01
2023-07-14,BAL,-1,6,8,2,1,5,2,0,3.97,50,1,18,7,1.0,Sandy Alcantara,alcansa01
2023-07-19,STL,-1,4,8,4,2,7,1,0,3.97,45,0,18,4,0.0,Sandy Alcantara,alcansa01
2023-07-26,TBR,1,6,5,1,1,7,0,0,3.84,79,1,27,29,1.0,Sandy Alcantara,alcansa01
2023-08-01,PHI,0,5,4,0,1,5,0,0,3.76,78,1,24,24,1.0,Sandy Alcantara,alcansa01
2023-08-06,TEX,-1,4,6,4,0,7,3,0,3.91,49,0,18,8,0.0,Sandy Alcantara,alcansa01
2023-08-12,NYY,1,5,5,1,2,10,0,0,3.78,81,0,27,31,1.0,Sandy Alcantara,alcansa01
2023-08-18,LAD,1,5,7,3,1,6,3,0,3.95,51,0,18,13,1.0,Sandy Alcantara,alcansa01
2023-08-23,SDP,-1,4,7,4,3,3,1,0,4.01,44,1,20,2,0.0,Sandy Alcantara,alcansa01
2023-08-29,TBR,-1,5,7,4,2,4,0,1,4.0,41,2,17,0,0.0,Sandy Alcantara,alcansa01
2023-09-03,WSN,1,4,9,2,2,3,1,0,4.03,53,1,24,15,1.0,Sandy Alcantara,alcansa01
2023-04-08,LAA,-1,4,6,4,1,5,1,0,3.05,34,2,12,-1,0.0,José Berríos,berrijo01
2023-04-14,TBR,1,5,4,1,0,6,0,0,2.31,61,0,15,18,0.0,José Berríos,berrijo01
2023-04-19,HOU,-1,4,3,2,1,3,0,1,2.61,65,1,21,12,1.0,José Berríos,berrijo01
2023-04-25,CHW,1,5,4,0,1,9,0,0,2.25,77,0,21,28,1.0,José Berríos,berrijo01
2023-05-01,BOS,0,5,11,5,2,4,2,0,3.11,28,2,16,-3,0.0,José Berríos,berrijo01
2023-05-06,PIT,1,4,5,2,1,7,1,0,3.19,61,1,19,19,1.0,José Berríos,berrijo01
2023-05-13,ATL,0,6,6,2,3,3,1,0,3.54,49,1,17,7,0.0,José Berríos,berrijo01
2023-05-18,NYY,-1,4,6,3,1,8,1,1,3.56,57,2,20,11,1.0,José Berríos,berrijo01
2023-05-23,TBR,1,4,5,1,2,5,1,1,3.73,66,2,21,19,1.0,José Berríos,berrijo01
2023-05-28,MIN,1,4,4,0,5,5,0,0,3.77,61,0,17,16,0.0,José Berríos,berrijo01
2023-06-03,NYM,0,5,4,1,3,6,0,0,3.68,63,1,18,15,1.0,José Berríos,berrijo01
2023-06-08,HOU,1,4,4,2,2,2,1,0,3.84,56,0,18,13,1.0,José Berríos,berrijo01
2023-06-14,BAL,1,5,3,0,1,5,0,1,3.74,77,0,23,26,1.0,José Berríos,berrijo01
2023-06-19,MIA,-1,4,8,5,1,4,1,1,3.84,29,2,12,-7,0.0,José Berríos,berrijo01
2023-06-24,OAK,1,4,6,2,2,8,1,1,3.87,56,2,18,16,1.0,José Berríos,berrijo01
2023-06-30,BOS,-1,5,5,4,0,8,3,0,4.06,54,1,18,10,0.0,José Berríos,berrijo01
2023-07-06,CHW,0,5,1,0,1,6,0,0,3.93,80,0,21,25,1.0,José Berríos,berrijo01
2023-07-14,ARI,0,7,7,1,1,4,0,0,3.85,53,2,16,10,0.0,José Berríos,berrijo01
2023-07-19,SDP,-1,4,4,2,4,9,0,1,3.8,61,0,18,11,1.0,José Berríos,berrijo01
2023-07-24,LAD,0,4,5,2,4,3,1,0,3.93,48,1,15,5,0.0,José Berríos,berrijo01
2023-07-30,LAA,0,5,6,1,2,6,0,1,3.87,60,1,18,13,1.0,José Berríos,berrijo01
2023-08-05,BOS,1,5,6,3,0,6,1,1,3.88,51,2,17,13,0.0,José Berríos,berrijo01
2023-08-11,CHC,-1,5,9,4,0,3,2,0,4.0,28,1,13,-4,0.0,José Berríos,berrijo01
2023-08-18,CIN,0,6,1,0,4,8,0,0,3.94,71,0,17,20,0.0,José Berríos,berrijo01
2023-08-24,BAL,-1,5,9,5,0,4,2,0,4.04,38,1,18,0,0.0,José Berríos,berrijo01
2023-08-29,WSN,-1,4,6,5,2,2,2,0,4.18,40,0,18,-1,0.0,José Berríos,berrijo01
2023-09-04,OAK,0,5,4,2,1,7,2,0,4.24,62,0,18,16,1.0,José Berríos,berrijo01
2023-09-10,KCR,1,5,5,2,2,7,0,0,4.15,64,1,21,20,1.0,José Berríos,berrijo01
2023-09-15,BOS,1,4,5,0,0,8,0,0,4.03,75,3,21,27,1.0,José Berríos,berrijo01
2023-04-05,NYM,0,5,7,6,2,3,2,1,7.01,26,3,13,-6,0.0,Corbin Burnes,burneco01
2023-04-11,ARI,1,5,3,0,0,8,0,0,4.36,84,0,24,32,1.0,Corbin Burnes,burneco01
2023-04-17,SEA,1,5,3,2,2,3,1,0,4.67,55,0,16,13,0.0,Corbin Burnes,burneco01
2023-04-23,BOS,0,5,5,2,3,5,0,0,4.38,49,1,15,8,0.0,Corbin Burnes,burneco01
2023-04-29,LAA,1,5,5,1,1,5,0,1,4.06,62,0,18,17,1.0,Corbin Burnes,burneco01
