Date,Opp,Dec,DR,H,ER,BB,SO,HR,HBP,FIP,GSc,2B,Outs,points,QS,pitcher,code
2023-04-28,CHW,0,4,6,2,2,5,2,1,3.69,50,0,15,7,0.0,Zach Eflin,eflinza01
2023-05-04,PIT,1,5,3,0,0,10,0,0,2.87,81,1,21,31,1.0,Zach Eflin,eflinza01
2023-05-09,BAL,-1,4,7,4,1,4,1,0,3.17,45,1,18,3,0.0,Zach Eflin,eflinza01
2023-05-14,NYY,1,4,7,4,1,9,2,0,3.46,50,0,18,14,0.0,Zach Eflin,eflinza01
2023-05-20,MIL,1,5,4,3,0,8,2,0,3.64,65,0,21,22,1.0,Zach Eflin,eflinza01
2023-05-25,TOR,1,4,6,1,2,0,0,0,3.7,59,0,21,14,1.0,Zach Eflin,eflinza01
2023-05-31,CHC,0,5,4,3,1,5,0,0,3.54,56,1,18,12,1.0,Zach Eflin,eflinza01
2023-06-06,MIN,1,5,3,0,1,9,0,0,3.29,76,1,20,28,1.0,Zach Eflin,eflinza01
2023-06-12,OAK,-1,5,5,4,2,6,0,0,3.2,42,1,14,2,0.0,Zach Eflin,eflinza01
2023-06-17,SDP,-1,4,4,2,2,5,0,0,3.16,59,1,18,10,1.0,Zach Eflin,eflinza01
2023-06-23,KCR,1,5,7,3,2,7,2,0,3.38,51,0,18,13,1.0,Zach Eflin,eflinza01
2023-06-28,ARI,0,4,7,2,0,7,0,0,3.22,62,3,21,17,1.0,Zach Eflin,eflinza01
2023-07-04,PHI,-1,5,4,2,0,9,0,1,3.06,70,3,21,18,1.0,Zach Eflin,eflinza01
2023-07-09,ATL,1,4,4,2,0,5,1,0,3.1,56,0,15,15,0.0,Zach Eflin,eflinza01
2023-07-16,KCR,-1,6,7,5,0,0,0,0,3.11,25,1,9,-11,0.0,Zach Eflin,eflinza01
2023-07-21,BAL,1,4,2,0,1,8,0,0,3.0,80,1,21,29,1.0,Zach Eflin,eflinza01
2023-07-26,MIA,-1,4,7,5,1,3,0,0,2.98,30,3,12,-6,0.0,Zach Eflin,eflinza01
2023-08-01,NYY,1,5,3,0,0,5,0,0,2.92,71,1,18,23,1.0,Zach Eflin,eflinza01
2023-08-08,STL,0,6,5,1,0,8,1,0,2.91,71,1,21,22,1.0,Zach Eflin,eflinza01
2023-08-13,CLE,-1,4,9,6,1,3,2,0,3.09,19,2,9,-13,0.0,Zach Eflin,eflinza01
2023-08-19,LAA,1,5,4,1,1,4,1,0,3.16,63,0,18,18,1.0,Zach Eflin,eflinza01
2023-08-25,NYY,-1,5,7,2,1,11,1,0,3.12,60,1,18,14,1.0,Zach Eflin,eflinza01
2023-08-30,MIA,0,4,4,0,0,4,0,0,3.07,69,2,19,19,1.0,Zach Eflin,eflinza01
2023-09-05,BOS,0,5,5,3,1,7,1,1,3.11,51,1,15,9,0.0,Zach Eflin,eflinza01
2023-09-10,SEA,1,4,7,3,2,6,0,0,3.08,45,1,15,9,0.0,Zach Eflin,eflinza01
2023-09-15,BAL,1,4,1,1,0,8,1,0,3.07,79,0,21,29,1.0,Zach Eflin,eflinza01
2023-04-10,CIN,0,4,6,0,1,7,0,0,2.37,67,1,19,19,1.0,Bryce Elder,elderbr01
2023-04-15,KCR,1,4,8,3,2,4,0,0,2.52,42,3,16,7,0.0,Bryce Elder,elderbr01
2023-04-21,HOU,0,5,5,0,1,6,0,1,2.46,65,1,18,17,1.0,Bryce Elder,elderbr01
2023-04-26,MIA,0,4,5,4,2,3,3,0,3.95,43,1,16,4,0.0,Bryce Elder,elderbr01
2023-05-02,MIA,1,5,3,0,0,6,0,0,3.48,77,0,21,27,1.0,Bryce Elder,elderbr01
2023-05-07,BAL,0,4,4,1,4,4,0,1,3.62,56,2,16,9,0.0,Bryce Elder,elderbr01
2023-05-13,TOR,0,5,5,2,1,3,0,0,3.52,51,3,15,8,0.0,Bryce Elder,elderbr01
2023-05-19,SEA,0,5,7,2,1,6,0,0,3.32,55,2,18,12,1.0,Bryce Elder,elderbr01
2023-05-24,LAD,0,4,7,1,1,6,1,1,3.43,59,0,18,13,1.0,Bryce Elder,elderbr01
2023-05-30,OAK,0,5,5,1,3,5,0,0,3.4,66,0,22,17,1.0,Bryce Elder,elderbr01
2023-06-06,NYM,1,6,4,4,2,8,2,0,3.61,54,0,18,15,0.0,Bryce Elder,elderbr01
2023-06-11,WSN,-1,4,8,5,1,1,1,0,3.77,32,1,16,-5,0.0,Bryce Elder,elderbr01
2023-06-17,COL,1,5,4,1,0,4,1,0,3.79,64,0,18,19,1.0,Bryce Elder,elderbr01
2023-06-22,PHI,0,4,3,0,2,6,0,1,3.72,75,0,21,21,1.0,Bryce Elder,elderbr01
2023-06-27,MIN,1,4,4,2,4,4,0,1,3.76,56,2,18,12,1.0,Bryce Elder,elderbr01
2023-07-03,CLE,1,5,7,2,2,1,0,0,3.77,51,2,20,11,1.0,Bryce Elder,elderbr01
2023-07-09,TBR,-1,5,6,7,4,0,2,0,4.11,16,1,10,-17,0.0,Bryce Elder,elderbr01
2023-07-18,ARI,0,8,7,5,1,4,1,0,4.16,23,1,8,-6,0.0,Bryce Elder,elderbr01
2023-07-23,MIL,0,4,4,2,2,2,1,0,4.25,56,0,18,10,1.0,Bryce Elder,elderbr01
2023-07-29,MIL,1,5,4,1,0,3,0,0,4.14,68,1,21,21,1.0,Bryce Elder,elderbr01
2023-08-05,CHC,-1,6,7,5,3,3,2,0,4.34,25,1,13,-7,0.0,Bryce Elder,elderbr01
2023-08-10,PIT,-1,4,6,5,2,5,0,1,4.29,38,1,15,-2,0.0,Bryce Elder,elderbr01
2023-08-15,NYY,1,4,1,0,3,3,0,0,4.26,75,0,21,23,1.0,Bryce Elder,elderbr01
2023-08-22,NYM,1,6,2,1,3,3,0,1,4.26,60,1,16,14,0.0,Bryce Elder,elderbr01
2023-08-28,COL,1,5,8,4,1,4,1,0,4.28,43,1,18,8,0.0,Bryce Elder,elderbr01
2023-09-02,LAD,0,4,5,1,4,4,0,0,4.26,58,2,18,11,1.0,Bryce Elder,elderbr01
2023-09-08,PIT,1,5,4,2,1,9,1,0,4.21,69,2,21,24,1.0,Bryce Elder,elderbr01
2023-09-15,MIA,0,6,9,4,0,6,1,0,4.19,39,2,15,4,0.0,Bryce Elder,elderbr01
2023-04-06,WSN,1,5,4,0,2,5,0,0,3.02,69,0,20,22,1.0,Kyle Freeland,freelky01
2023-04-11,STL,0,4,6,2,2,5,2,0,4.28,55,1,18,11,1.0,Kyle Freeland,freelky01
2023-04-17,PIT,-1,5,8,7,1,1,1,0,4.81,10,1,8,-17,0.0,Kyle Freeland,freelky01
2023-04-22,PHI,-1,4,5,4,1,6,3,0,5.56,51,0,18,7,0.0,Kyle Freeland,freelky01
2023-04-28,ARI,-1,5,5,3,1,3,1,0,5.45,52,1,18,6,1.0,Kyle Freeland,freelky01
2023-05-03,MIL,1,4,3,0,0,5,0,0,4.9,66,0,15,20,0.0,Kyle Freeland,freelky01
2023-05-08,PIT,-1,4,7,2,3,4,1,0,4.96,56,1,21,8,1.0,Kyle Freeland,freelky01
2023-05-14,PHI,1,5,4,0,1,8,0,0,4.51,71,1,18,24,1.0,Kyle Freeland,freelky01
2023-05-20,TEX,-1,5,9,5,0,0,0,0,4.46,12,2,6,-16,0.0,Kyle Freeland,freelky01
2023-05-25,MIA,0,4,7,2,2,4,0,0,4.32,47,0,15,6,0.0,Kyle Freeland,freelky01
2023-05-30,ARI,-1,4,6,5,3,1,3,0,4.95,35,0,17,-4,0.0,Kyle Freeland,freelky01
2023-06-04,KCR,-1,4,4,2,0,1,1,0,4.94,62,1,21,11,1.0,Kyle Freeland,freelky01
2023-06-10,SDP,0,5,6,1,2,5,0,0,4.77,54,2,15,10,0.0,Kyle Freeland,freelky01
2023-06-15,ATL,-1,4,9,7,3,1,0,0,4.78,15,3,13,-15,0.0,Kyle Freeland,freelky01
2023-06-23,LAA,0,7,9,3,2,3,2,0,4.99,36,2,15,1,0.0,Kyle Freeland,freelky01
2023-06-28,LAD,0,4,4,6,5,7,1,0,5.05,37,0,15,1,0.0,Kyle Freeland,freelky01
2023-07-04,HOU,-1,5,9,4,2,3,1,0,5.07,40,1,19,0,0.0,Kyle Freeland,freelky01
2023-07-09,SFG,-1,4,7,1,3,0,1,0,5.17,52,0,19,4,1.0,Kyle Freeland,freelky01
2023-07-28,OAK,-1,18,9,3,0,3,0,1,5.07,31,1,12,-4,0.0,Kyle Freeland,freelky01
2023-08-02,SDP,-1,4,7,4,1,6,3,0,5.24,47,1,18,5,0.0,Kyle Freeland,freelky01
2023-08-08,MIL,0,5,8,3,0,4,2,0,5.29,48,1,18,8,1.0,Kyle Freeland,freelky01
2023-08-13,LAD,-1,4,6,4,1,1,1,0,5.32,39,2,15,-2,0.0,Kyle Freeland,freelky01
2023-08-19,CHW,1,5,8,4,1,6,0,0,5.17,40,2,15,7,0.0,Kyle Freeland,freelky01
2023-08-25,BAL,0,5,8,3,0,3,2,0,5.24,47,1,18,7,1.0,Kyle Freeland,freelky01
2023-08-30,ATL,-1,4,8,6,1,3,3,0,5.41,29,0,17,-4,0.0,Kyle Freeland,freelky01
2023-09-05,ARI,1,5,6,2,3,2,0,0,5.36,51,2,18,10,1.0,Kyle Freeland,freelky01
2023-09-11,CHC,0,5,8,3,0,2,1,0,5.34,46,1,18,6,1.0,Kyle Freeland,freelky01
2023-09-16,SFG,0,4,4,1,1,1,0,0,5.3,47,1,9,3,0.0,Kyle Freeland,freelky01
2023-04-06,KCR,1,4,4,0,2,7,0,0,1.68,69,0,18,22,1.0,Kevin Gausman,gausmke01
2023-04-12,DET,0,5,5,3,0,11,2,0,2.51,71,2,24,24,1.0,Kevin Gausman,gausmke01
2023-04-17,HOU,-1,4,7,7,2,5,2,0,3.54,23,3,14,-7,0.0,Kevin Gausman,gausmke01
2023-04-23,NYY,1,5,3,0,0,11,0,0,2.79,82,1,21,32,1.0,Kevin Gausman,gausmke01
2023-04-29,SEA,0,5,6,0,1,13,0,0,2.28,77,0,21,27,1.0,Kevin Gausman,gausmke01
2023-05-04,BOS,-1,4,10,8,1,4,1,0,2.55,11,2,10,-16,0.0,Kevin Gausman,gausmke01
2023-05-10,PHI,0,5,3,0,0,9,0,0,2.26,75,1,18,24,1.0,Kevin Gausman,gausmke01
2023-05-16,NYY,0,5,5,2,2,10,1,0,2.37,65,0,21,20,1.0,Kevin Gausman,gausmke01
2023-05-21,BAL,0,4,6,2,2,4,0,0,2.45,64,2,24,16,1.0,Kevin Gausman,gausmke01
2023-05-26,MIN,1,4,4,1,5,8,0,0,2.5,59,1,16,16,0.0,Kevin Gausman,gausmke01
2023-06-01,MIL,1,5,5,0,2,11,0,0,2.35,73,1,20,27,1.0,Kevin Gausman,gausmke01
2023-06-06,HOU,1,4,4,1,0,13,1,0,2.27,78,0,21,31,1.0,Kevin Gausman,gausmke01
2023-06-11,MIN,0,4,7,6,4,4,1,1,2.56,26,3,14,-6,0.0,Kevin Gausman,gausmke01
2023-06-16,TEX,1,4,4,1,2,4,1,0,2.72,62,3,18,17,1.0,Kevin Gausman,gausmke01
2023-06-21,MIA,1,4,8,3,1,6,0,1,2.69,49,2,18,11,1.0,Kevin Gausman,gausmke01
2023-06-27,SFG,-1,5,3,1,1,12,0,0,2.52,73,1,18,21,1.0,Kevin Gausman,gausmke01
2023-07-02,BOS,0,4,5,2,1,7,0,0,2.46,55,3,15,12,0.0,Kevin Gausman,gausmke01
2023-07-08,DET,-1,5,5,2,2,7,0,0,2.43,59,1,18,11,1.0,Kevin Gausman,gausmke01
2023-07-22,SEA,0,13,5,4,0,9,4,0,2.75,55,0,18,14,0.0,Kevin Gausman,gausmke01
2023-07-28,LAA,1,5,5,1,3,9,1,0,2.81,64,1,18,20,1.0,Kevin Gausman,gausmke01
2023-08-03,BAL,-1,5,8,3,2,6,0,0,2.78,39,0,13,0,0.0,Kevin Gausman,gausmke01
2023-08-09,CLE,1,5,4,0,0,6,0,0,2.71,75,2,21,26,1.0,Kevin Gausman,gausmke01
2023-08-16,PHI,-1,6,7,5,3,4,1,0,2.83,31,4,16,-3,0.0,Kevin Gausman,gausmke01
2023-08-23,BAL,-1,6,5,2,1,8,1,0,2.85,61,2,18,13,1.0,Kevin Gausman,gausmke01
2023-08-28,WSN,1,4,7,3,2,7,0,1,2.83,46,1,15,9,0.0,Kevin Gausman,gausmke01
2023-09-03,COL,0,5,6,3,3,5,0,0,2.83,40,3,12,2,0.0,Kevin Gausman,gausmke01
2023-09-09,KCR,1,5,2,1,1,10,1,0,2.83,83,1,24,32,1.0,Kevin Gausman,gausmke01
2023-09-14,TEX,-1,4,6,4,6,5,2,0,3.04,35,1,14,-4,0.0,Kevin Gausman,gausmke01
2023-04-07,CLE,0,5,6,3,2,6,0,0,2.86,42,0,12,4,0.0,Logan Gilbert,gilbelo01
2023-04-12,CHC,1,4,4,1,1,7,0,0,2.36,68,0,20,23,1.0,Logan Gilbert,gilbelo01
2023-04-18,MIL,0,5,5,4,0,8,2,0,3.04,54,2,18,13,0.0,Logan Gilbert,gilbelo01
2023-04-26,PHI,0,7,7,4,1,6,1,0,3.22,42,0,15,5,0.0,Logan Gilbert,gilbelo01
2023-05-03,OAK,0,6,3,2,2,6,0,0,3.05,62,2,18,15,1.0,Logan Gilbert,gilbelo01
2023-05-08,TEX,-1,4,3,2,1,10,0,0,2.66,69,0,20,19,1.0,Logan Gilbert,gilbelo01
2023-05-14,DET,0,5,6,3,1,4,0,0,2.63,48,2,17,8,0.0,Logan Gilbert,gilbelo01
2023-05-20,ATL,1,5,4,2,1,9,1,0,2.66,64,0,18,21,1.0,Logan Gilbert,gilbelo01
2023-05-25,OAK,1,4,3,2,0,6,1,0,2.76,74,1,24,26,1.0,Logan Gilbert,gilbelo01
2023-05-30,NYY,-1,4,7,5,1,4,2,0,3.12,27,0,12,-5,0.0,Logan Gilbert,gilbelo01
2023-06-06,SDP,1,6,3,1,2,6,0,0,3.05,71,3,21,23,1.0,Logan Gilbert,gilbelo01
2023-06-11,LAA,-1,4,8,6,0,2,2,1,3.4,19,3,9,-13,0.0,Logan Gilbert,gilbelo01
2023-06-17,CHW,0,5,6,2,3,3,1,0,3.59,48,3,16,6,0.0,Logan Gilbert,gilbelo01
2023-06-23,BAL,1,5,2,1,1,5,1,0,3.63,73,0,21,24,1.0,Logan Gilbert,gilbelo01
2023-06-28,WSN,-1,4,8,4,2,4,0,0,3.58,42,3,18,1,0.0,Logan Gilbert,gilbelo01
2023-07-04,SFG,1,5,5,0,0,7,0,0,3.42,84,1,27,32,1.0,Logan Gilbert,gilbelo01
2023-07-09,HOU,1,4,3,1,0,6,1,1,3.44,73,0,21,24,1.0,Logan Gilbert,gilbelo01
2023-07-17,MIN,1,7,7,2,1,5,0,0,3.37,49,3,15,11,0.0,Logan Gilbert,gilbelo01
2023-07-22,TOR,0,4,8,5,1,5,3,0,3.64,35,1,15,1,0.0,Logan Gilbert,gilbelo01
2023-07-28,ARI,1,5,9,2,0,5,0,0,3.54,52,2,19,14,1.0,Logan Gilbert,gilbelo01
2023-08-02,BOS,0,4,5,3,3,5,1,0,3.62,52,1,18,9,1.0,Logan Gilbert,gilbelo01
2023-08-08,SDP,1,5,1,0,0,12,0,0,3.43,87,0,21,35,1.0,Logan Gilbert,gilbelo01
2023-08-14,KCR,0,5,7,4,2,5,2,0,3.58,36,0,13,1,0.0,Logan Gilbert,gilbelo01
2023-08-19,HOU,1,4,8,2,1,3,2,0,3.72,50,2,18,11,1.0,Logan Gilbert,gilbelo01
2023-08-26,KCR,1,6,2,1,1,7,1,0,3.71,75,0,21,26,1.0,Logan Gilbert,gilbelo01
2023-09-01,NYM,0,5,7,1,0,9,1,0,3.66,65,2,20,20,1.0,Logan Gilbert,gilbelo01
2023-09-06,CIN,1,4,7,3,2,9,0,0,3.58,49,2,16,13,0.0,Logan Gilbert,gilbelo01
2023-09-11,LAA,0,4,6,3,1,5,2,0,3.67,57,0,21,13,1.0,Logan Gilbert,gilbelo01
2023-09-17,LAD,-1,5,7,5,1,6,2,0,3.76,38,1,15,0,0.0,Logan Gilbert,gilbelo01
2023-04-08,WSN,-1,5,7,5,1,5,1,0,5.79,34,4,14,-2,0.0,Austin Gomber,gombeau01
2023-04-14,SEA,-1,5,6,5,4,2,1,0,6.61,27,3,11,-10,0.0,Austin Gomber,gombeau01
2023-04-19,PIT,-1,4,9,9,3,1,1,0,7.42,0,4,6,-26,0.0,Austin Gomber,gombeau01
2023-04-24,CLE,1,4,3,0,3,3,0,0,6.59,61,1,15,15,0.0,Austin Gomber,gombeau01
2023-04-30,ARI,1,5,3,1,2,4,1,0,6.26,64,0,18,18,1.0,Austin Gomber,gombeau01
2023-05-06,NYM,1,5,5,2,2,3,0,0,5.72,55,1,18,13,1.0,Austin Gomber,gombeau01
2023-05-12,PHI,0,5,5,3,0,6,2,0,5.66,58,2,20,15,1.0,Austin Gomber,gombeau01
2023-05-17,CIN,0,4,8,5,2,1,1,0,5.81,26,2,13,-6,0.0,Austin Gomber,gombeau01
2023-05-23,MIA,1,5,4,3,1,2,2,0,6.02,50,0,17,11,0.0,Austin Gomber,gombeau01
2023-05-28,NYM,0,4,8,6,3,3,1,0,6.11,22,2,12,-8,0.0,Austin Gomber,gombeau01
2023-06-03,KCR,0,5,6,2,3,4,1,0,6.22,39,0,8,-1,0.0,Austin Gomber,gombeau01
2023-06-09,SDP,-1,5,11,7,2,1,3,0,6.74,11,2,12,-17,0.0,Austin Gomber,gombeau01
2023-06-14,BOS,-1,4,6,3,1,5,0,0,6.32,52,2,18,7,1.0,Austin Gomber,gombeau01
2023-06-19,CIN,-1,4,5,4,0,6,3,0,6.47,46,0,16,6,0.0,Austin Gomber,gombeau01
2023-06-25,LAA,1,5,5,2,1,3,0,1,6.26,51,1,15,10,0.0,Austin Gomber,gombeau01
2023-06-30,DET,1,4,6,2,1,7,0,0,5.88,61,0,21,20,1.0,Austin Gomber,gombeau01
2023-07-07,SFG,1,6,5,2,0,1,1,1,5.86,55,0,18,12,1.0,Austin Gomber,gombeau01
2023-07-14,NYY,1,6,6,2,0,2,1,0,5.79,54,1,18,13,1.0,Austin Gomber,gombeau01
2023-07-19,HOU,-1,4,8,4,0,5,1,0,5.67,45,2,18,4,0.0,Austin Gomber,gombeau01
2023-07-25,WSN,0,5,6,0,0,4,0,0,5.46,62,2,18,16,1.0,Austin Gomber,gombeau01
2023-07-31,SDP,0,5,6,2,2,5,0,0,5.31,55,0,18,11,1.0,Austin Gomber,gombeau01
2023-08-06,STL,1,5,6,0,3,2,0,0,5.25,59,2,18,14,1.0,Austin Gomber,gombeau01
2023-08-11,LAD,-1,4,8,2,1,2,0,1,5.19,44,1,15,0,0.0,Austin Gomber,gombeau01
2023-08-16,ARI,0,4,7,6,3,1,1,0,5.26,28,1,16,-5,0.0,Austin Gomber,gombeau01
2023-08-23,TBR,0,6,7,3,2,4,2,0,5.35,48,1,18,7,1.0,Austin Gomber,gombeau01
2023-08-28,ATL,0,4,4,2,2,1,1,0,5.43,41,1,8,-1,0.0,Austin Gomber,gombeau01
2023-04-06,COL,-1,4,8,1,1,6,0,0,5.81,57,2,18,10,1.0,Josiah Gray,grayjo03
2023-04-11,LAA,-1,4,4,2,2,3,1,2,6.08,54,0,17,5,0.0,Josiah Gray,grayjo03
2023-04-18,BAL,-1,6,4,1,4,3,0,0,5.71,54,2,15,5,0.0,Josiah Gray,grayjo03
2023-04-25,NYM,1,6,4,0,1,9,0,0,4.63,72,1,18,25,1.0,Josiah Gray,grayjo03
2023-04-30,PIT,1,4,3,1,3,6,0,0,4.3,65,1,18,19,1.0,Josiah Gray,grayjo03
2023-05-05,ARI,-1,4,7,3,2,6,1,0,4.35,45,1,15,3,0.0,Josiah Gray,grayjo03
2023-05-10,SFG,1,4,5,2,4,3,0,0,4.31,58,2,21,14,1.0,Josiah Gray,grayjo03
2023-05-16,MIA,0,5,7,1,3,5,0,0,4.15,59,2,21,14,1.0,Josiah Gray,grayjo03
2023-05-21,DET,1,4,3,1,6,2,0,0,4.32,53,0,15,9,0.0,Josiah Gray,grayjo03
2023-05-27,KCR,0,5,4,2,3,4,1,0,4.48,47,1,12,5,0.0,Josiah Gray,grayjo03
2023-06-02,PHI,0,5,6,4,2,4,2,0,4.74,42,1,16,4,0.0,Josiah Gray,grayjo03
2023-06-09,ATL,0,6,2,1,4,6,0,0,4.64,61,0,15,13,0.0,Josiah Gray,grayjo03
2023-06-14,HOU,0,4,6,4,0,5,2,1,4.75,54,2,21,11,0.0,Josiah Gray,grayjo03
2023-06-19,STL,-1,4,9,6,1,6,2,0,4.87,30,1,15,-4,0.0,Josiah Gray,grayjo03
2023-06-24,SDP,1,4,4,0,4,6,0,0,4.77,62,0,16,17,0.0,Josiah Gray,grayjo03
2023-06-30,PHI,1,5,6,1,1,8,0,0,4.54,63,0,18,20,1.0,Josiah Gray,grayjo03
2023-07-05,CIN,-1,4,8,3,4,6,2,1,4.76,37,2,15,-1,0.0,Josiah Gray,grayjo03
2023-07-16,STL,-1,10,10,4,1,2,1,1,4.84,32,1,15,-6,0.0,Josiah Gray,grayjo03
2023-07-22,SFG,1,5,4,1,3,4,0,0,4.75,66,2,21,19,1.0,Josiah Gray,grayjo03
2023-07-27,NYM,0,4,2,0,3,4,0,2,4.73,69,0,18,15,1.0,Josiah Gray,grayjo03
2023-08-01,MIL,-1,4,4,5,3,3,0,0,4.71,33,1,11,-6,0.0,Josiah Gray,grayjo03
2023-08-08,PHI,0,6,6,4,2,5,1,0,4.73,39,2,14,3,0.0,Josiah Gray,grayjo03
2023-08-15,BOS,-1,6,5,5,3,4,1,0,4.8,30,1,9,-8,0.0,Josiah Gray,grayjo03
2023-08-22,NYY,0,6,1,1,5,4,1,1,4.9,65,0,18,13,1.0,Josiah Gray,grayjo03
2023-08-28,TOR,-1,5,4,4,4,2,0,0,4.94,30,1,6,-11,0.0,Josiah Gray,grayjo03
2023-09-03,MIA,0,5,4,3,4,2,1,1,5.06,40,1,12,-1,0.0,Josiah Gray,grayjo03
2023-09-14,PIT,-1,10,5,2,0,10,2,0,5.02,65,0,19,17,1.0,Josiah Gray,grayjo03
2023-04-09,LAA,0,4,9,6,1,6,3,0,7.76,26,0,13,-3,0.0,Yusei Kikuchi,kikucyu01
2023-04-15,TBR,1,5,4,1,1,9,1,0,5.87,68,0,18,23,1.0,Yusei Kikuchi,kikucyu01
2023-04-21,NYY,1,5,4,1,2,3,1,0,5.74,61,0,18,16,1.0,Yusei Kikuchi,kikucyu01
2023-04-26,CHW,1,4,4,0,1,8,0,0,4.74,68,0,17,23,0.0,Yusei Kikuchi,kikucyu01
2023-05-02,BOS,0,5,9,5,0,2,2,1,5.33,27,3,13,-5,0.0,Yusei Kikuchi,kikucyu01
2023-05-07,PIT,1,4,4,0,2,3,0,0,4.99,66,2,19,19,1.0,Yusei Kikuchi,kikucyu01
2023-05-14,ATL,0,6,9,4,0,7,3,0,5.42,33,1,12,2,0.0,Yusei Kikuchi,kikucyu01
2023-05-19,BAL,-1,4,3,3,4,3,1,0,5.61,45,1,14,1,0.0,Yusei Kikuchi,kikucyu01
2023-05-24,TBR,-1,4,8,5,2,5,2,0,5.81,34,0,15,-3,0.0,Yusei Kikuchi,kikucyu01
2023-05-30,MIL,1,5,3,2,5,4,1,0,5.94,52,0,15,10,0.0,Yusei Kikuchi,kikucyu01
2023-06-04,NYM,0,4,4,2,1,8,2,0,5.93,58,1,15,14,0.0,Yusei Kikuchi,kikucyu01
2023-06-09,MIN,0,4,4,2,1,4,1,0,5.85,54,1,15,10,0.0,Yusei Kikuchi,kikucyu01
2023-06-15,BAL,0,5,6,2,2,7,1,0,5.75,49,0,14,9,0.0,Yusei Kikuchi,kikucyu01
2023-06-20,MIA,0,4,2,0,0,6,0,0,5.4,74,0,18,22,1.0,Yusei Kikuchi,kikucyu01
2023-06-25,OAK,1,4,2,1,2,8,1,0,5.26,75,1,21,26,1.0,Yusei Kikuchi,kikucyu01
2023-07-01,BOS,-1,5,7,5,2,7,1,0,5.22,34,1,13,-2,0.0,Yusei Kikuchi,kikucyu01
2023-07-06,CHW,0,4,8,4,0,4,1,0,5.17,39,2,15,3,0.0,Yusei Kikuchi,kikucyu01
2023-07-16,ARI,0,9,2,1,3,4,0,2,5.15,55,1,14,9,0.0,Yusei Kikuchi,kikucyu01
2023-07-21,SEA,0,4,5,0,1,8,0,0,4.92,65,0,16,18,0.0,Yusei Kikuchi,kikucyu01
2023-07-26,LAD,1,4,7,1,2,8,0,1,4.77,60,1,18,17,1.0,Yusei Kikuchi,kikucyu01
2023-08-02,BAL,1,6,6,1,1,3,0,0,4.66,58,1,18,15,1.0,Yusei Kikuchi,kikucyu01
2023-08-08,CLE,-1,5,3,1,1,6,0,0,4.51,72,2,21,18,1.0,Yusei Kikuchi,kikucyu01
2023-08-15,PHI,0,6,4,1,0,7,0,0,4.34,67,1,18,19,1.0,Yusei Kikuchi,kikucyu01
2023-08-22,BAL,0,6,7,3,1,6,0,0,4.24,43,2,14,6,0.0,Yusei Kikuchi,kikucyu01
2023-08-27,CLE,0,4,6,4,2,8,1,0,4.22,50,1,18,10,0.0,Yusei Kikuchi,kikucyu01
2023-09-02,COL,-1,5,6,2,4,6,0,0,4.19,38,1,14,3,0.0,Yusei Kikuchi,kikucyu01
2023-09-08,KCR,0,5,3,1,1,8,1,0,4.15,64,0,15,17,0.0,Yusei Kikuchi,kikucyu01
2023-09-13,TEX,-1,4,5,6,2,3,2,0,4.29,34,0,15,-4,0.0,Yusei Kikuchi,kikucyu01
2023-04-06,SFG,-1,5,9,8,3,5,3,0,8.66,15,2,13,-13,0.0,Lance Lynn,lynnla01
2023-04-11,MIN,0,4,7,3,0,10,2,0,7.01,56,1,18,15,1.0,Lance Lynn,lynnla01
2023-04-18,PHI,-1,6,10,5,3,7,0,0,5.84,32,0,16,-3,0.0,Lance Lynn,lynnla01
2023-04-24,TOR,-1,5,5,4,3,4,1,0,5.88,42,1,15,0,0.0,Lance Lynn,lynnla01
2023-04-29,TBR,-1,4,3,4,2,10,1,0,5.34,59,1,19,13,0.0,Lance Lynn,lynnla01
2023-05-05,CIN,1,5,8,4,0,8,1,0,4.91,50,1,20,15,0.0,Lance Lynn,lynnla01
2023-05-10,KCR,-1,4,9,7,2,4,2,0,5.27,23,2,15,-9,0.0,Lance Lynn,lynnla01
2023-05-16,CLE,1,5,7,1,0,7,0,0,4.72,62,1,21,22,1.0,Lance Lynn,lynnla01
2023-05-21,KCR,1,4,4,2,2,6,1,0,4.69,60,0,18,17,1.0,Lance Lynn,lynnla01
2023-05-26,DET,1,4,3,1,5,5,0,1,4.68,58,1,18,15,1.0,Lance Lynn,lynnla01
2023-05-31,LAA,-1,4,8,8,2,4,3,2,5.24,16,2,12,-15,0.0,Lance Lynn,lynnla01
2023-06-08,NYY,0,7,8,5,3,4,1,0,5.29,32,3,15,-2,0.0,Lance Lynn,lynnla01
2023-06-13,LAD,-1,4,6,4,2,6,2,0,5.42,41,0,15,2,0.0,Lance Lynn,lynnla01
2023-06-18,SEA,-1,4,4,3,2,16,0,0,4.93,71,1,21,22,1.0,Lance Lynn,lynnla01
2023-06-24,BOS,0,5,6,3,1,7,1,0,4.85,51,1,17,11,0.0,Lance Lynn,lynnla01
2023-06-29,LAA,1,4,8,5,2,7,3,0,5.07,41,1,18,8,0.0,Lance Lynn,lynnla01
2023-07-06,TOR,0,6,1,0,1,11,0,1,4.79,85,0,21,29,1.0,Lance Lynn,lynnla01
2023-07-15,ATL,1,8,6,4,3,6,2,0,4.93,43,0,16,8,0.0,Lance Lynn,lynnla01
2023-07-21,MIN,-1,5,8,6,3,6,4,0,5.26,31,1,20,0,0.0,Lance Lynn,lynnla01
