PA_30,AB_30,R_30,H_30,RBI_30,BB_30,SO_30,BA_30,OBP_30,SLG_30,OPS_30,Date,Team,PA_all,AB_all,R_all,H_all,RBI_all,BB_all,SO_all,BA_all,OBP_all,SLG_all,OPS_all
30.0,28.0,2.0,4.0,2.0,0.0,8.0,0.143,0.167,0.179,0.345,2023-03-31,ARI,30.0,28.0,2.0,4.0,2.0,0.0,8.0,0.143,0.167,0.179,0.345
32.5,31.0,2.0,5.5,2.0,0.5,6.5,0.15999999999999998,0.1835,0.2265,0.4095,2023-04-01,ARI,32.5,31.0,2.0,5.5,2.0,0.5,6.5,0.15999999999999998,0.1835,0.2265,0.4095
32.333333333333336,31.333333333333332,1.6666666666666667,5.333333333333333,1.6666666666666667,0.3333333333333333,7.666666666666667,0.16333333333333333,0.18433333333333332,0.24666666666666667,0.4306666666666666,2023-04-02,ARI,32.333333333333336,31.333333333333332,1.6666666666666667,5.333333333333333,1.6666666666666667,0.3333333333333333,7.666666666666667,0.16333333333333333,0.18433333333333332,0.24666666666666667,0.4306666666666666
32.75,31.75,1.75,6.25,1.75,0.25,7.25,0.17175,0.19174999999999998,0.25975,0.45124999999999993,2023-04-03,ARI,32.75,31.75,1.75,6.25,1.75,0.25,7.25,0.17175,0.19174999999999998,0.25975,0.45124999999999993
33.2,32.2,2.2,6.8,2.0,0.4,7.4,0.1796,0.1992,0.2748,0.47379999999999994,2023-04-04,ARI,33.2,32.2,2.2,6.8,2.0,0.4,7.4,0.1796,0.1992,0.2748,0.47379999999999994
34.833333333333336,32.0,3.1666666666666665,7.166666666666667,2.8333333333333335,1.5,7.0,0.18700000000000003,0.21083333333333332,0.2855,0.49616666666666664,2023-04-06,ARI,34.833333333333336,32.0,3.1666666666666665,7.166666666666667,2.8333333333333335,1.5,7.0,0.18700000000000003,0.21083333333333332,0.2855,0.49616666666666664
34.857142857142854,32.0,3.0,6.857142857142857,2.5714285714285716,1.7142857142857142,7.142857142857143,0.19085714285714286,0.21828571428571428,0.2925714285714286,0.5107142857142857,2023-04-07,ARI,34.857142857142854,32.0,3.0,6.857142857142857,2.5714285714285716,1.7142857142857142,7.142857142857143,0.19085714285714286,0.21828571428571428,0.2925714285714286,0.5107142857142857
35.0,32.125,3.375,7.25,3.0,1.75,6.875,0.19524999999999998,0.22549999999999998,0.30174999999999996,0.527125,2023-04-08,ARI,35.0,32.125,3.375,7.25,3.0,1.75,6.875,0.19524999999999998,0.22549999999999998,0.30174999999999996,0.527125
35.77777777777778,32.888888888888886,4.333333333333333,8.333333333333334,4.0,1.5555555555555556,6.777777777777778,0.20166666666666666,0.23366666666666663,0.3151111111111111,0.5486666666666666,2023-04-09,ARI,35.77777777777778,32.888888888888886,4.333333333333333,8.333333333333334,4.0,1.5555555555555556,6.777777777777778,0.20166666666666666,0.23366666666666663,0.3151111111111111,0.5486666666666666
36.6,33.6,5.0,9.1,4.7,1.8,7.1,0.20859999999999998,0.24209999999999998,0.3268,0.5687,2023-04-10,ARI,36.6,33.6,5.0,9.1,4.7,1.8,7.1,0.20859999999999998,0.24209999999999998,0.3268,0.5687
36.45454545454545,33.45454545454545,4.818181818181818,9.0,4.545454545454546,1.9090909090909092,7.0,0.21409090909090908,0.249,0.33609090909090905,0.5849090909090908,2023-04-11,ARI,36.45454545454545,33.45454545454545,4.818181818181818,9.0,4.545454545454546,1.9090909090909092,7.0,0.21409090909090908,0.249,0.33609090909090905,0.5849090909090908
36.0,33.166666666666664,4.5,8.583333333333334,4.25,1.8333333333333333,7.083333333333333,0.21783333333333332,0.25375,0.3419999999999999,0.5955833333333332,2023-04-12,ARI,36.0,33.166666666666664,4.5,8.583333333333334,4.25,1.8333333333333333,7.083333333333333,0.21783333333333332,0.25375,0.3419999999999999,0.5955833333333332
36.23076923076923,33.38461538461539,4.6923076923076925,8.846153846153847,4.461538461538462,1.8461538461538463,6.769230769230769,0.22146153846153846,0.2581538461538461,0.34846153846153843,0.6065384615384615,2023-04-14,ARI,36.23076923076923,33.38461538461539,4.6923076923076925,8.846153846153847,4.461538461538462,1.8461538461538463,6.769230769230769,0.22146153846153846,0.2581538461538461,0.34846153846153843,0.6065384615384615
36.07142857142857,33.357142857142854,4.428571428571429,8.642857142857142,4.214285714285714,1.7857142857142858,6.857142857142857,0.22414285714285714,0.2614285714285714,0.3527857142857142,0.6141428571428571,2023-04-15,ARI,36.07142857142857,33.357142857142854,4.428571428571429,8.642857142857142,4.214285714285714,1.7857142857142858,6.857142857142857,0.22414285714285714,0.2614285714285714,0.3527857142857142,0.6141428571428571
36.06666666666667,33.2,4.266666666666667,8.466666666666667,4.066666666666666,1.8666666666666667,6.933333333333334,0.22619999999999998,0.26413333333333333,0.3559333333333333,0.6199999999999999,2023-04-16,ARI,36.06666666666667,33.2,4.266666666666667,8.466666666666667,4.066666666666666,1.8666666666666667,6.933333333333334,0.22619999999999998,0.26413333333333333,0.3559333333333333,0.6199999999999999
35.9375,33.1875,4.3125,8.375,4.125,1.75,7.1875,0.2278125,0.2661875,0.35850000000000004,0.6246875,2023-04-17,ARI,35.9375,33.1875,4.3125,8.375,4.125,1.75,7.1875,0.2278125,0.2661875,0.35850000000000004,0.6246875
