Team,PA_L30,OBP_L30,AVG_L30,SLG_L30,OPS_L30,PA_all,BA_all,OBP_all,SLG_all,OPS_all
ARI,1046,0.3260038240917782,0.24945770065075923,0.44685466377440347,0.7728584878661817,5400,.252,.323,.417,.740
ATL,1090,0.3568807339449541,0.2884811416921509,0.5158002038735984,0.8726809378185525,5411,.276,.345,.502,.847
