PA_30,R_30,H_30,HR_30,BB_30,SO_30,OBP_30,SLG_30,LOB_30,Date,Team,PA_all,R_all,H_all,HR_all,BB_all,SO_all,OBP_all,SLG_all,LOB_all
30.0,2.0,4.0,0.0,0.0,8.0,0.167,0.179,1.0,2023-03-31,ARI,30.0,2.0,4.0,0.0,0.0,8.0,0.167,0.179,1.0
32.5,2.0,5.5,0.5,0.5,6.5,0.1835,0.2265,3.5,2023-04-01,ARI,32.5,2.0,5.5,0.5,0.5,6.5,0.1835,0.2265,3.5
32.333333333333336,1.6666666666666667,5.333333333333333,0.6666666666666666,0.3333333333333333,7.666666666666667,0.18433333333333332,0.24666666666666667,3.6666666666666665,2023-04-02,ARI,32.333333333333336,1.6666666666666667,5.333333333333333,0.6666666666666666,0.3333333333333333,7.666666666666667,0.18433333333333332,0.24666666666666667,3.6666666666666665
32.75,1.75,6.25,0.5,0.25,7.25,0.19174999999999998,0.25975,4.0,2023-04-03,ARI,32.75,1.75,6.25,0.5,0.25,7.25,0.19174999999999998,0.25975,4.0
33.2,2.2,6.8,0.8,0.4,7.4,0.1992,0.2748,4.0,2023-04-04,ARI,33.2,2.2,6.8,0.8,0.4,7.4,0.1992,0.2748,4.0
34.833333333333336,3.1666666666666665,7.166666666666667,0.6666666666666666,1.5,7.0,0.21083333333333332,0.2855,4.666666666666667,2023-04-06,ARI,34.833333333333336,3.1666666666666665,7.166666666666667,0.6666666666666666,1.5,7.0,0.21083333333333332,0.2855,4.666666666666667
34.857142857142854,3.0,6.857142857142857,0.5714285714285714,1.7142857142857142,7.142857142857143,0.21828571428571428,0.2925714285714286,4.857142857142857,2023-04-07,ARI,34.857142857142854,3.0,6.857142857142857,0.5714285714285714,1.7142857142857142,7.142857142857143,0.21828571428571428,0.2925714285714286,4.857142857142857
35.0,3.375,7.25,0.75,1.75,6.875,0.22549999999999998,0.30174999999999996,5.0,2023-04-08,ARI,35.0,3.375,7.25,0.75,1.75,6.875,0.22549999999999998,0.30174999999999996,5.0
35.77777777777778,4.333333333333333,8.333333333333334,0.8888888888888888,1.5555555555555556,6.777777777777778,0.23366666666666663,0.3151111111111111,5.111111111111111,2023-04-09,ARI,35.77777777777778,4.333333333333333,8.333333333333334,0.8888888888888888,1.5555555555555556,6.777777777777778,0.23366666666666663,0.3151111111111111,5.111111111111111
36.6,5.0,9.1,0.8,1.8,7.1,0.24209999999999998,0.3268,5.5,2023-04-10,ARI,36.6,5.0,9.1,0.8,1.8,7.1,0.24209999999999998,0.3268,5.5
36.45454545454545,4.818181818181818,9.0,0.8181818181818182,1.9090909090909092,7.0,0.249,0.33609090909090905,5.7272727272727275,2023-04-11,ARI,36.45454545454545,4.818181818181818,9.0,0.8181818181818182,1.9090909090909092,7.0,0.249,0.33609090909090905,5.7272727272727275
36.0,4.5,8.583333333333334,0.75,1.8333333333333333,7.083333333333333,0.25375,0.3419999999999999,5.5,2023-04-12,ARI,36.0,4.5,8.583333333333334,0.75,1.8333333333333333,7.083333333333333,0.25375,0.3419999999999999,5.5
36.23076923076923,4.6923076923076925,8.846153846153847,0.8461538461538461,1.8461538461538463,6.769230769230769,0.2581538461538461,0.34846153846153843,5.6923076923076925,2023-04-14,ARI,36.23076923076923,4.6923076923076925,8.846153846153847,0.8461538461538461,1.8461538461538463,6.769230769230769,0.2581538461538461,0.34846153846153843,5.6923076923076925
36.07142857142857,4.428571428571429,8.642857142857142,0.7857142857142857,1.7857142857142858,6.857142857142857,0.2614285714285714,0.3527857142857142,5.714285714285714,2023-04-15,ARI,36.07142857142857,4.428571428571429,8.642857142857142,0.7857142857142857,1.7857142857142858,6.857142857142857,0.2614285714285714,0.3527857142857142,5.714285714285714
36.06666666666667,4.266666666666667,8.466666666666667,0.7333333333333333,1.8666666666666667,6.933333333333334,0.26413333333333333,0.3559333333333333,5.8,2023-04-16,ARI,36.06666666666667,4.266666666666667,8.466666666666667,0.7333333333333333,1.8666666666666667,6.933333333333334,0.26413333333333333,0.3559333333333333,5.8
35.9375,4.3125,8.375,0.75,1.75,7.1875,0.2661875,0.35850000000000004,5.5625,2023-04-17,ARI,35.9375,4.3125,8.375,0.75,1.75,7.1875,0.2661875,0.35850000000000004,5.5625
35.76470588235294,4.411764705882353,8.176470588235293,0.8235294117647058,1.8823529411764706,7.294117647058823,0.2679411764705883,0.3609411764705883,5.235294117647059,2023-04-18,ARI,35.76470588235294,4.411764705882353,8.176470588235293,0.8235294117647058,1.8823529411764706,7.294117647058823,0.2679411764705883,0.3609411764705883,5.235294117647059
36.05555555555556,4.611111111111111,8.5,0.8333333333333334,1.8333333333333333,7.277777777777778,0.26972222222222225,0.36366666666666675,5.277777777777778,2023-04-19,ARI,36.05555555555556,4.611111111111111,8.5,0.8333333333333334,1.8333333333333333,7.277777777777778,0.26972222222222225,0.36366666666666675,5.277777777777778
36.31578947368421,4.631578947368421,8.631578947368421,0.8947368421052632,1.894736842105263,7.421052631578948,0.2714736842105263,0.36652631578947376,5.473684210526316,2023-04-20,ARI,36.31578947368421,4.631578947368421,8.631578947368421,0.8947368421052632,1.894736842105263,7.421052631578948,0.2714736842105263,0.36652631578947376,5.473684210526316
36.5,4.65,8.8,0.85,1.85,7.45,0.2731,0.36915000000000003,5.6,2023-04-21,ARI,36.5,4.65,8.8,0.85,1.85,7.45,0.2731,0.36915000000000003,5.6
